region_code,region_name,year,hiv_total,hiv_h,hiv_f,hiv_m,hep_b_total,hep_c_total,hep_b_m,hep_b_f,following,loss_of_follow,new_users,population,pct_new_users,pct_following,health_expend,cash_transfer_expend,gdpp,pop20_24,covid_per_capita,state_code
130001,Manaus,2019,1243,154,347,895,401.0,245.0,220.0,181.0,505.0,155.0,211.0,2414349.0,1.37012987012987,3.279220779220779,476.989103605154,169.48416804281402,37.46773509132275,9.615832404511528,0.0,13
130001,Manaus,2020,1049,143,246,803,194.0,130.0,114.0,80.0,536.0,116.0,31.0,2414349.0,0.21678321678321677,3.7482517482517483,614.8687519907022,46.71499926895408,37.43192618382844,9.574105847994636,0.0411112892129514,13
130001,Manaus,2021,1505,224,366,1138,0.0,0.0,0.0,0.0,641.0,350.0,105.0,2414349.0,0.46875,2.861607142857143,582.6990910924642,67.3151105121919,,9.506053710544746,0.10029038883773639,13
130001,Manaus,2022,564,51,131,433,0.0,0.0,0.0,0.0,921.0,384.0,280.0,2414349.0,5.490196078431373,18.058823529411764,,,,,0.12034846660528367,13
130002,São Gabriel da Cachoeira,2013,4,1,2,2,14.0,0.0,7.0,7.0,0.0,0.0,0.0,94512.0,0.0,0.0,277.8197237387845,460.4596443837819,7.7764782249873035,9.7437478838666,0.0,13
130002,São Gabriel da Cachoeira,2014,4,0,1,3,18.0,0.0,6.0,12.0,0.0,0.0,0.0,94512.0,0.0,0.0,327.72471950651766,489.9357177924497,8.210683722701878,9.727451752158455,0.0,13
130002,São Gabriel da Cachoeira,2015,4,0,2,2,12.0,0.0,5.0,7.0,0.0,0.0,0.0,94512.0,0.0,0.0,340.26108652869476,471.136791306924,8.11566520653462,9.73479949636025,0.0,13
130002,São Gabriel da Cachoeira,2016,4,0,2,2,17.0,3.0,5.0,12.0,0.0,0.0,0.0,94512.0,0.0,0.0,263.5083624301676,463.67806394955136,7.3325948027763665,9.854259459116303,0.0,13
130002,São Gabriel da Cachoeira,2017,3,0,1,2,25.0,6.0,17.0,8.0,0.0,0.0,0.0,94512.0,0.0,0.0,317.5005271288302,443.54784810394443,7.302579989842559,10.02342834772304,0.0,13
130002,São Gabriel da Cachoeira,2018,2,1,1,1,24.0,3.0,15.0,9.0,0.0,0.0,0.0,94512.0,0.0,0.0,412.8326514093449,419.9519422930421,7.340723082783138,10.171645611139327,0.0,13
